alias,canonical,axis
al-aziz,al-aziz,attribute
aziz,al-aziz,attribute
izza,al-aziz,attribute
izzah,al-aziz,attribute
al-ghani,al-ghani,attribute
divine-independence,al-ghani,attribute
divine-self-sufficiency,al-ghani,attribute
divine-sufficiency,al-ghani,attribute
ghani,al-ghani,attribute
ghina,al-ghani,attribute
istighna,al-ghani,attribute
self-sufficiency,al-ghani,attribute
sufficiency,al-ghani,attribute
al-hakim,al-hakim,attribute
al-khabir,al-hakim,attribute
khabir,al-hakim,attribute
al-jabbar,al-jabbar,attribute
jabbar,al-jabbar,attribute
al-malik,al-mulk,attribute
al-mulk,al-mulk,attribute
divine-sovereignty,al-mulk,attribute
divine-throne,al-mulk,attribute
dominion,al-mulk,attribute
kingdom,al-mulk,attribute
kingship,al-mulk,attribute
mulk,al-mulk,attribute
sovereignty,al-mulk,attribute
al-qadir,al-qadir,attribute
divine-omnipotence,al-qadir,attribute
qadir,al-qadir,attribute
qudrah,al-qadir,attribute
al-wakil,al-wakil,attribute
wakil,al-wakil,attribute
al-rahman,ar-rahman,attribute
ar-rahim,ar-rahman,attribute
ar-rahman,ar-rahman,attribute
al-alim,as-sami,attribute
al-basir,as-sami,attribute
alim,as-sami,attribute
as-sami,as-sami,attribute
basir,as-sami,attribute
divine-hearing,as-sami,attribute
divine-sight,as-sami,attribute
hearing,as-sami,attribute
sami-alim,as-sami,attribute
sight,as-sami,attribute
being-fully-known,divine-knowledge,attribute
being-known,divine-knowledge,attribute
being-seen,divine-knowledge,attribute
divine-knowledge,divine-knowledge,attribute
divine-omniscience,divine-knowledge,attribute
divine-witness,divine-knowledge,attribute
divine-witnessing,divine-knowledge,attribute
encompassment,divine-knowledge,attribute
ihata,divine-knowledge,attribute
observation,divine-knowledge,attribute
omniscience,divine-knowledge,attribute
surveillance,divine-knowledge,attribute
divine-craftsmanship,divine-mercy-attr,attribute
divine-generosity,divine-mercy-attr,attribute
divine-intimacy,divine-mercy-attr,attribute
divine-mercy-attr,divine-mercy-attr,attribute
divine-nearness,divine-mercy-attr,attribute
divine-pleasure,divine-mercy-attr,attribute
divine-presence,divine-mercy-attr,attribute
divine-tenderness,divine-mercy-attr,attribute
maiyyah,divine-mercy-attr,attribute
nearness,divine-mercy-attr,attribute
proximity,divine-mercy-attr,attribute
ridwan,divine-mercy-attr,attribute
asma,divine-names,attribute
divine-attributes,divine-names,attribute
divine-names,divine-names,attribute
names-of-allah,divine-names,attribute
naming,divine-names,attribute
divine-agency,divine-power,attribute
divine-power,divine-power,attribute
divine-address,divine-speech,attribute
divine-speech,divine-speech,attribute
divine-speech-attr,divine-speech,attribute
kalam,divine-speech,attribute
lordship,rabb,attribute
rabb,rabb,attribute
rububiyya,rabb,attribute
rububiyyah,rabb,attribute
divine-transcendence,tanzih,attribute
tabaraka,tanzih,attribute
tanzih,tanzih,attribute
transcendence,tanzih,attribute
cognitive-dissonance,cognitive-dissonance,bridge
hedonic-adaptation,hedonic-adaptation,bridge
hedonic-treadmill,hedonic-adaptation,bridge
identity-protective-cognition,identity-protective-cognition,bridge
